VersionID,Versionno.,MobileOS,Size,link,whatsnew,date,productID
86,4.1,All Platforms,70.98,galaxy/filesystem/product/24/4.1,original version,3/22/2013,24
87,3.1.21,WindowsPhone,46.44,galaxy/filesystem/product/11/3.1.21,bug fixes,4/27/2013,11
88,4.1,All Platforms,75.5,galaxy/filesystem/product/31/4.1,original version,4/27/2013,31
89,1.1.22,Android,47.09,galaxy/filesystem/product/12/1.1.22,original app,7/20/2013,12
90,1.1.23,Android,47.74,galaxy/filesystem/product/12/1.1.23,bug fixes,7/28/2013,12
91,2.1.44,IOS,48.38,galaxy/filesystem/product/12/2.1.44,original app,7/29/2013,12
92,2.1.46,IOS,49.03,galaxy/filesystem/product/12/2.1.46,bug fixes,8/16/2013,12
93,3.1.22,WindowsPhone,49.67,galaxy/filesystem/product/12/3.1.22,original app,8/22/2013,12
94,3.1.23,WindowsPhone,50.32,galaxy/filesystem/product/12/3.1.23,bug fixes,9/10/2013,12
95,1.1.24,Android,50.96,galaxy/filesystem/product/13/1.1.24,original app,9/22/2013,13
96,1.1.25,Android,51.61,galaxy/filesystem/product/13/1.1.25,bug fixes,12/3/2013,13
97,2.1.48,IOS,52.26,galaxy/filesystem/product/13/2.1.48,original app,12/5/2013,13
98,2.1.50,IOS,52.9,galaxy/filesystem/product/13/2.1.50,bug fixes,12/20/2013,13
99,3.1.24,WindowsPhone,53.55,galaxy/filesystem/product/13/3.1.24,original app,12/22/2013,13
100,3.1.25,WindowsPhone,54.19,galaxy/filesystem/product/13/3.1.25,bug fixes,1/25/2014,13
101,1.1.26,Android,54.84,galaxy/filesystem/product/14/1.1.26,original app,3/8/2014,14
102,4.1,All Platforms,67.11,galaxy/filesystem/product/18/4.1,original version,3/8/2014,18
103,4.1,All Platforms,67.75,galaxy/filesystem/product/19/4.1,original version,3/8/2014,19
104,4.1,All Platforms,69.69,galaxy/filesystem/product/22/4.1,original version,3/20/2014,22
105,1.1.27,Android,55.48,galaxy/filesystem/product/14/1.1.27,bug fixes,3/26/2014,14
106,4.1,All Platforms,72.27,galaxy/filesystem/product/26/4.1,original version,3/26/2014,26
107,2.1.52,IOS,56.13,galaxy/filesystem/product/14/2.1.52,original app,4/22/2014,14
108,4.1,All Platforms,74.21,galaxy/filesystem/product/29/4.1,original version,4/22/2014,29
109,2.1.54,IOS,56.78,galaxy/filesystem/product/14/2.1.54,bug fixes,5/14/2014,14
110,4.1,All Platforms,78.08,galaxy/filesystem/product/35/4.1,original version,5/14/2014,35
111,3.1.26,WindowsPhone,57.42,galaxy/filesystem/product/14/3.1.26,original app,6/26/2014,14
112,4.1,All Platforms,81.31,galaxy/filesystem/product/40/4.1,original version,6/26/2014,40
113,3.1.27,WindowsPhone,58.07,galaxy/filesystem/product/14/3.1.27,bug fixes,7/1/2014,14
114,1.1.28,Android,58.71,galaxy/filesystem/product/15/1.1.28,original app,9/7/2014,15
115,1.1.29,Android,59.36,galaxy/filesystem/product/15/1.1.29,bug fixes,10/16/2014,15
116,2.1.56,IOS,60,galaxy/filesystem/product/15/2.1.56,original app,10/26/2014,15
117,2.1.58,IOS,60.65,galaxy/filesystem/product/15/2.1.58,bug fixes,11/21/2014,15
118,3.1.28,WindowsPhone,61.3,galaxy/filesystem/product/15/3.1.28,original app,11/28/2014,15
119,3.1.29,WindowsPhone,61.94,galaxy/filesystem/product/15/3.1.29,bug fixes,12/5/2014,15
120,1.1.30,Android,62.59,galaxy/filesystem/product/16/1.1.30,original app,12/11/2014,16
