Version_ID,VersionNumber,MobileOS,Size,ProductLink,WhatsNew,VersionDate,Product_ID
53,2.1.24,IOS,29.01,galaxy/filesystem/product/7/2.1.24,original app,2011-08-01,7
54,2.1.26,IOS,29.66,galaxy/filesystem/product/7/2.1.26,bug fixes,2011-08-18,7
55,3.1.12,WindowsPhone,30.3,galaxy/filesystem/product/7/3.1.12,original app,2011-08-28,7
56,3.1.13,WindowsPhone,30.95,galaxy/filesystem/product/7/3.1.13,bug fixes,2011-09-15,7
57,1.1.14,Android,31.59,galaxy/filesystem/product/8/1.1.14,original app,2011-09-24,8
58,1.1.15,Android,32.24,galaxy/filesystem/product/8/1.1.15,bug fixes,2011-10-14,8
59,2.1.28,IOS,32.88,galaxy/filesystem/product/8/2.1.28,original app,2011-11-29,8
60,2.1.30,IOS,33.53,galaxy/filesystem/product/8/2.1.30,bug fixes,2011-12-06,8
61,3.1.14,WindowsPhone,34.18,galaxy/filesystem/product/8/3.1.14,original app,2011-12-15,8
62,3.1.15,WindowsPhone,34.82,galaxy/filesystem/product/8/3.1.15,bug fixes,2012-01-01,8
63,1.1.16,Android,35.47,galaxy/filesystem/product/9/1.1.16,original app,2012-02-19,9
64,3.1.30,WindowsPhone,65.17,galaxy/filesystem/product/16/3.1.30,original app,2012-02-19,16
65,1.1.17,Android,36.11,galaxy/filesystem/product/9/1.1.17,bug fixes,2012-04-20,9
66,4.1,All Platforms,72.92,galaxy/filesystem/product/27/4.1,original version,2012-04-20,27
67,2.1.32,IOS,36.76,galaxy/filesystem/product/9/2.1.32,original app,2012-05-21,9
68,4.1,All Platforms,78.73,galaxy/filesystem/product/36/4.1,original version,2012-05-21,36
69,2.1.34,IOS,37.4,galaxy/filesystem/product/9/2.1.34,bug fixes,2012-05-24,9
70,4.1,All Platforms,79.38,galaxy/filesystem/product/37/4.1,original version,2012-05-24,37
71,3.1.16,WindowsPhone,38.05,galaxy/filesystem/product/9/3.1.16,original app,2012-06-16,9
72,4.1,All Platforms,80.67,galaxy/filesystem/product/39/4.1,original version,2012-06-16,39
73,3.1.17,WindowsPhone,38.7,galaxy/filesystem/product/9/3.1.17,bug fixes,2012-07-11,9
74,1.1.18,Android,39.34,galaxy/filesystem/product/10/1.1.18,original app,2012-08-13,10
75,1.1.19,Android,39.99,galaxy/filesystem/product/10/1.1.19,bug fixes,2012-08-21,10
76,2.1.36,IOS,40.63,galaxy/filesystem/product/10/2.1.36,original app,2012-09-02,10
77,2.1.38,IOS,41.28,galaxy/filesystem/product/10/2.1.38,bug fixes,2012-10-17,10
78,3.1.18,WindowsPhone,41.92,galaxy/filesystem/product/10/3.1.18,original app,2012-10-31,10
79,3.1.19,WindowsPhone,42.57,galaxy/filesystem/product/10/3.1.19,bug fixes,2012-11-01,10
80,1.1.20,Android,43.22,galaxy/filesystem/product/11/1.1.20,original app,2012-11-22,11
81,1.1.21,Android,43.86,galaxy/filesystem/product/11/1.1.21,bug fixes,2012-11-28,11
82,2.1.40,IOS,44.51,galaxy/filesystem/product/11/2.1.40,original app,2013-01-04,11
83,2.1.42,IOS,45.15,galaxy/filesystem/product/11/2.1.42,bug fixes,2013-02-04,11
84,2.1.60,IOS,63.88,galaxy/filesystem/product/16/2.1.60,original app,2013-02-04,16
85,3.1.20,WindowsPhone,45.8,galaxy/filesystem/product/11/3.1.20,original app,2013-03-22,11
86,4.1,All Platforms,70.98,galaxy/filesystem/product/24/4.1,original version,2013-03-22,24
87,3.1.21,WindowsPhone,46.44,galaxy/filesystem/product/11/3.1.21,bug fixes,2013-04-27,11
88,4.1,All Platforms,75.5,galaxy/filesystem/product/31/4.1,original version,2013-04-27,31
89,1.1.22,Android,47.09,galaxy/filesystem/product/12/1.1.22,original app,2013-07-20,12
90,1.1.23,Android,47.74,galaxy/filesystem/product/12/1.1.23,bug fixes,2013-07-28,12
91,2.1.44,IOS,48.38,galaxy/filesystem/product/12/2.1.44,original app,2013-07-29,12
92,2.1.46,IOS,49.03,galaxy/filesystem/product/12/2.1.46,bug fixes,2013-08-16,12
93,3.1.22,WindowsPhone,49.67,galaxy/filesystem/product/12/3.1.22,original app,2013-08-22,12
94,3.1.23,WindowsPhone,50.32,galaxy/filesystem/product/12/3.1.23,bug fixes,2013-09-10,12
95,1.1.24,Android,50.96,galaxy/filesystem/product/13/1.1.24,original app,2013-09-22,13
96,1.1.25,Android,51.61,galaxy/filesystem/product/13/1.1.25,bug fixes,2013-12-03,13
97,2.1.48,IOS,52.26,galaxy/filesystem/product/13/2.1.48,original app,2013-12-05,13
98,2.1.50,IOS,52.9,galaxy/filesystem/product/13/2.1.50,bug fixes,2013-12-20,13
99,3.1.24,WindowsPhone,53.55,galaxy/filesystem/product/13/3.1.24,original app,2013-12-22,13
100,3.1.25,WindowsPhone,54.19,galaxy/filesystem/product/13/3.1.25,bug fixes,2014-01-25,13
101,1.1.26,Android,54.84,galaxy/filesystem/product/14/1.1.26,original app,2014-03-08,14
102,4.1,All Platforms,67.11,galaxy/filesystem/product/18/4.1,original version,2014-03-08,18
103,4.1,All Platforms,67.75,galaxy/filesystem/product/19/4.1,original version,2014-03-08,19
104,4.1,All Platforms,69.69,galaxy/filesystem/product/22/4.1,original version,2014-03-20,22
105,1.1.27,Android,55.48,galaxy/filesystem/product/14/1.1.27,bug fixes,2014-03-26,14
106,4.1,All Platforms,72.27,galaxy/filesystem/product/26/4.1,original version,2014-03-26,26
107,2.1.52,IOS,56.13,galaxy/filesystem/product/14/2.1.52,original app,2014-04-22,14
108,4.1,All Platforms,74.21,galaxy/filesystem/product/29/4.1,original version,2014-04-22,29
109,2.1.54,IOS,56.78,galaxy/filesystem/product/14/2.1.54,bug fixes,2014-05-14,14
110,4.1,All Platforms,78.08,galaxy/filesystem/product/35/4.1,original version,2014-05-14,35
111,3.1.26,WindowsPhone,57.42,galaxy/filesystem/product/14/3.1.26,original app,2014-06-26,14
112,4.1,All Platforms,81.31,galaxy/filesystem/product/40/4.1,original version,2014-06-26,40
113,3.1.27,WindowsPhone,58.07,galaxy/filesystem/product/14/3.1.27,bug fixes,2014-07-01,14
114,1.1.28,Android,58.71,galaxy/filesystem/product/15/1.1.28,original app,2014-09-07,15
115,1.1.29,Android,59.36,galaxy/filesystem/product/15/1.1.29,bug fixes,2014-10-16,15
116,2.1.56,IOS,60,galaxy/filesystem/product/15/2.1.56,original app,2014-10-26,15
117,2.1.58,IOS,60.65,galaxy/filesystem/product/15/2.1.58,bug fixes,2014-11-21,15
118,3.1.28,WindowsPhone,61.3,galaxy/filesystem/product/15/3.1.28,original app,2014-11-28,15
119,3.1.29,WindowsPhone,61.94,galaxy/filesystem/product/15/3.1.29,bug fixes,2014-12-05,15
120,1.1.30,Android,62.59,galaxy/filesystem/product/16/1.1.30,original app,2014-12-11,16
